year,player_id,pitch_type,pitches,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,rp_x,rp_z,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
2022,605280,SI,782,"Holmes, Clay",976,80.1,0.2,0.056,0.259,0.256,0.257,0.26,0.199,36,180,89.7,-10,2208,97,96.31,93,354,428,-0.7,-0.91,6.35,6.09,112,156,116,150,293,324,289
2022,593974,CH,346,"Peralta, Wandy",815,42.5,0.198,0.05,0.26,0.248,0.228,0.243,0.203,20,101,84,6.5,2184,88.6,87.55,75,197,149,-1,0.84,5.66,5.91,106,152,119,147,296,324,284
2022,593974,SI,304,"Peralta, Wandy",815,37.3,0.225,0.028,0.262,0.254,0.259,0.298,0.25,16,71,84.2,2.5,2186,95.4,94.52,34,141,163,-0.9,0.95,6.04,5.82,110,154,116,150,292,323,287
2022,642152,SI,283,"Trivino, Lou",955,29.6,0.4,0.1,0.452,0.5,0.418,0.336,0.291,28,70,87.2,-3.8,2024,95.8,95.92,20,139,144,0.1,-1.63,6,6.42,110,152,116,146,297,323,292
2022,642152,SL,227,"Trivino, Lou",955,23.8,0.109,0.091,0.227,0.2,0.17,0.168,0.115,6,55,74.1,14.2,2558,81.9,81.64,45,96,131,-0.3,-1.62,6.04,6.24,109,153,120,148,301,326,290
2022,605280,SL,193,"Holmes, Clay",976,19.8,0.174,0.109,0.292,0.283,0.227,0.174,0.136,8,46,85,2.9,2561,86,85.5,42,98,95,-0.5,-0.96,6.32,5.98,112,154,115,148,289,323,287
2022,642152,FF,173,"Trivino, Lou",955,18.1,0.34,0.34,0.407,0.681,0.481,0.456,0.315,16,47,95.4,18.9,1992,95.6,95.68,29,99,74,0.1,-1.6,6.02,6.42,112,152,117,149,297,321,292
2022,642152,FC,148,"Trivino, Lou",955,15.5,0.333,0,0.412,0.333,0.345,0.352,0.304,7,21,89.1,0.6,2277,92.3,92.36,16,66,82,0.1,-1.63,6.04,6.31,108,154,113,149,294,324,294
2022,593974,SL,128,"Peralta, Wandy",815,15.7,0.167,0.167,0.214,0.333,0.232,0.205,0.149,4,24,84.6,23.3,2241,87.6,87.46,30,63,65,-0.1,0.99,5.84,6.13,114,153,118,150,290,324,287
2022,642152,CH,102,"Trivino, Lou",955,10.7,0.192,0.115,0.278,0.308,0.247,0.304,0.258,5,26,90.7,4.8,1690,87.4,87.44,15,46,56,0,-1.66,5.98,6.43,113,152,115,147,292,320,290
2022,593974,FF,37,"Peralta, Wandy",815,4.5,0.333,0,0.333,0.333,0.295,0.09,0.09,2,6,82.9,19.6,2218,95.4,94.4,3,18,19,-1,0.57,6.13,5.81,109,156,120,148,301,325,286
2022,642152,CU,22,"Trivino, Lou",955,2.3,0.667,0,0.667,0.667,0.589,0.496,0.534,2,3,91.2,28,2180,76.8,76.75,1,8,14,0,-1.35,6.28,6.39,107,147,114,145,300,316,286
2022,605280,FF,1,"Holmes, Clay",976,0.1,0,0,0,0,0,0.226,0.246,0,1,93.6,-6,2266,98,97.5,0,1,0,-0.5,-0.99,6.45,6,117,141,122,151,302,324,279